picture,description
1,A woman whispers in a smiling man's ear.
2,A woman whispers in a smiling woman's ear.
3,A woman whispers in a smiling woman's ear.
5,A woman whispers in a smiling woman's ear.
6,A woman whispers in a surprised woman's ear.
7,A woman whispers in a woman's ear.
10,A woman whispers to 3 surprised women.
11,A girl whispers in a girl's ear.
12,2 women cover mouths and laugh.
13,A woman whispers in a woman's ear.
14,A girl whispers in a woman's ear.
15,A woman whispers in a woman's ear.
16,A man whispers in a woman's ear.
18,A man whispers in a smiling woman's ear.
19,A woman whispers in a surprised woman's ear.
20,A woman whispers in a smiling woman's ear.
22,A woman whispers in a smiling woman's ear.
23,A woman whispers in a surprised woman's ear.
24,A woman whispers in a smiling woman's ear.
26,A girl whispers in a surprised man's ear.
28,A woman whispers in a smiling woman's ear.
29,A man whispers in a smiling woman's ear.
30,A woman whispers in a surprised girl's ear.
31,A woman whispers in a surprised woman's ear.
32,A woman whispers in a smiling woman's ear.
33,A girl whispers in a man's ear.
34,A man whispers in a surprised woman's ear.
35,2 women whisper in a smiling woman's ear.
36,A girl whispers in a smiling girl's ear.
38,A woman whispers in a surprised woman's ear.
40,A woman whispers in a woman's ear.
41,A girl whispers in a girl's ear.
43,A woman whispers in a surprised woman's ear.
44,A woman whispers in a smiling man's ear.
45,A woman whispers in a smiling woman's ear.
47,A woman whispers to a surprised woman.
48,A woman whispers in a surprised woman's ear.
49,A woman whispers to a woman.
51,A girl whispers in a girl's ear.
52,A girl whispers in a girl's ear.
53,A woman whispers in a surprised woman's ear.
55,A girl whispers in a surprised girl's ear.
56,A woman whispers in a surprised woman's ear.
57,2 women whisper in a surprised woman's ear.
58,A woman whispers in a woman's ear.
59,A woman whispers in a surprised woman's ear.
60,A girl whispers in a smiling girl's ear.
61,A man whispers in a surprised woman's ear.
62,A man whispers in a smiling man's ear.
63,A woman whispers in a smiling woman's ear.
